Title,Company,Location,SalaryType,MinSalary,MaxSalary,AvgSalary
Director of Business Intelligence (Data Consumption),Guild Education,"Remote in Denver, CO",year,220000.0,246250.0,233125.0
"Machine Learning Engineer, Recommendation",ByteDance,"Seattle, WA+13 locations",unknown,,,
Database Administrator,North Carolina Dept of Commerce,"Remote in Wake County, NC",year,73965.0,110948.0,92456.5
"Data Scientist, Analytics II #0000","Twitch Interactive, Inc.","Remote in San Francisco, CA 94104",unknown,,,
Data Scientist,Peek Vision Ltd,Remote,year,98000.0,116000.0,107000.0
Database Administrator,"E-Logic, Inc.","Haines City, FL 33844+1 location",hour,57.0,90.0,152880.0
Data Engineer,Mastechdigital,"Pittsburgh, PA+1 location",hour,55.0,60.0,119600.0
Business Intelligence (BI) Developer,cBEYONData,"Washington, DC",unknown,,,
Director of Machine Learning,Tackle AI,"Hybrid remote in Schaumburg, IL 60173",year,180000.0,250000.0,215000.0
MS SQL Database Administrator,Powerfront,Remote,unknown,,,
Jr. Data Scientist,Net2Aspire,Remote,year,65000.0,80000.0,72500.0
Business Analyst,Sabot Consulting,Remote,hour,80.0,120.0,208000.0
Data Scientist / Deep Learning Engineer,Solera,Remote,unknown,,,
"Infrastructure Engineer, Oracle DBA (24 x 7 operations support)",PNC Financial Services Group,"Remote in Pittsburgh, PA 15222+2 locations",unknown,,,
Natural Language Processing and Data Analytics Manager,CEDENT,"New York, NY+1 location",unknown,,,
Data Engineer,GenSpark,Remote,hour,35.0,45.0,83200.0
Data Scientist,AllocateRite,"New York, NY 10005 (Financial District area)",year,150000.0,150000.0,150000.0
Business Intelligence (BI) Engineer/MicroStrategy Developer,Privia Health,Remote,unknown,,,
Machine Learning Engineer,Terray Therapeutics,"Remote in Pasadena, CA",unknown,,,
Data Science Product Manager,FlexIT Inc,"Beaverton, OR 97005 (Central Beaverton area)",unknown,,,
Data Science Lead,Doorvest,"Remote in San Francisco, CA",unknown,,,
Database Administrator - Open to 100% Remote,Perrigo Company,"Remote in Allegan, MI 49010",unknown,,,
Business Intelligence Developer/SPOTFIRE,ICON,Remote,unknown,,,
Business Intelligence Dashboard Developer,Leidos,"Washington, DC 20090 (South West area)",year,94250.0,195750.0,145000.0
Senior Data Engineer,Paradigm,"Remote in Seattle, WA",year,185000.0,275000.0,230000.0
Data Engineer,ERP Suites,"New York, NY",unknown,,,
Business Intelligence Developer / Associate Business Intelligence Developer - Workplace Solutions,Mutual of Omaha,Remote,year,55000.0,85000.0,70000.0
Sr. Manager Data Science,Capital One,"McLean, VA+9 locations",unknown,,,
Senior Manager of Data Science and Business Analytics,Yay Lunch,Remote,year,75000.0,100000.0,87500.0
Data Scientist / Deep Learning Engineer,Solera,Remote,unknown,,,
Director of Data Science Solutions,Data Society,"Washington, DC 20005 (Logan Circle area)",year,150000.0,170000.0,160000.0
Epic Cogito Business Intelligence Developer,Methodist Health System,"Dallas, TX",unknown,,,
Machine Learning Engineer (Remote),Vail Resorts,+1 locationRemote,year,82800.0,106425.0,94612.5
Database Administrator,OMP,"Atlanta, GA 30339",unknown,,,
Training Database Administrator,KBR,"Bellevue, NE+3 locations",unknown,,,
Database Administrator,Gryphen Sps Chandler,Remote,hour,27.0,35.0,64480.0
"Sr. Manager, Data Science",Mejuri,"Hybrid remote in New York, NY",year,130000.0,140000.0,135000.0
"Associate Director, Data Science - Marketing",OneMain Financial,"Wilmington, DE 19803",unknown,,,
Data Ingestion Engineer,Brilliant Infotech,+3 locationsRemote,hour,60.0,70.0,135200.0
Product Manager with (AI and ML),Artech Consulting LLC,Remote,hour,60.0,67.0,132080.0
Power BI ETL Developer - Work From Home,"greenpath, inc.","Remote in Denver, CO 80246+35 locations",unknown,,,
AWS Data Engineer,New York Technology Partners,"Charlotte, NC+1 location",hour,65.0,70.0,140400.0
Business Intelligence Developer,VTech Electronics,"Arlington Heights, IL 60004",unknown,,,
Machine Learning Engineer,Marshall Technologies,Remote,hour,50.0,50.0,104000.0
Data Engineer,K-TEK RESOURCING,"Jersey City, NJ",hour,70.0,75.0,150800.0
IT Data Engineering Director - Remote,Mayo Clinic,"Remote in Rochester, MN",year,147930.0,214490.0,181210.0
Machine Learning Engineer,Kensho,+15 locationsRemote,unknown,,,
Database Administrator,Kalibrate,Remote,unknown,,,
Data Scientist,Expert Technical Solutions,Remote,year,160000.0,160000.0,160000.0
Senior Director Data Analytics - Remote,UnitedHealth Group,"Remote in Eden Prairie, MN 55346",year,134200.0,257700.0,195950.0
Product Manager with (AI and ML),Artech Consulting LLC,Remote,hour,60.0,67.0,132080.0
Data Engineer,Teamware Solutions (quantum leap consulting).,+1 locationRemote,hour,60.0,60.0,124800.0
Head of Data,Coalition,"Remote in San Francisco, CA 94105",unknown,,,
Data Engineer,Kollasoft Inc,Remote,hour,39.0,86.0,130000.0
Remote Business Analyst,"Gritter Francona, Inc.",Remote,year,65000.0,75000.0,70000.0
Senior Applied Machine Learning Engineer,EvolutionIQ,"New York, NY 10010 (NoMad area)",year,180000.0,225000.0,202500.0
"Sr. Data Science Manager, Core Data Science - Build (Remote)",Shopify,"Remote in Boston, MA",unknown,,,
Data Scientist / Facilities,Tesla,"Sparks, NV 89434",unknown,,,
Data Engineer I,Aviation Structure Repairs,"Little Rock, AR 72201 (East of I-30 area)",year,59802.0,168764.0,114283.0
Business Intelligence Developer,Volto Consulting,+1 locationRemote,hour,70.0,75.0,150800.0
Lead Analytic Consultant - Data Visualization,CVS Health,"Remote in Woonsocket, RI 02895+2 locations",year,95000.0,209000.0,152000.0
Business Intelligence Developer,Johns Hopkins Health System,"Baltimore, MD 21201 (Middle East area)+1 location",unknown,,,
Engineering Manager - Data Science,Coalition,"Remote in San Francisco, CA 94105",unknown,,,
"Manager, People Data Science",PayPal,"Austin, TX+2 locations",unknown,,,
Sr. Database Administrator (DBA),Classmates,"Bellevue, WA 98004 (Southwest Bellevue area)",year,150000.0,150000.0,150000.0
Technical Project Manager - Data Science,Scorpion Internet Marketing,Remote,unknown,,,
DATABASE ADMINISTRATOR,Books-A-Million,"Birmingham, AL",unknown,,,
"Senior Manager, Data Scientist",NetSpend,Remote,year,140000.0,150000.0,145000.0
Business Data Analyst,EPSOFT Technologies,"Denver, CO 80206 (Cherry Creek area)",hour,55.0,60.0,119600.0
Data Science Engineer,MatchPointe Group,"Hybrid remote in Austin, TX 78758",year,130000.0,180000.0,155000.0
Machine Learning Engineer (Remote),IntelliBridge LLC,Remote in Virginia+1 location,unknown,,,
Data Engineer,DeepHealth,Remote,year,120000.0,120000.0,120000.0
Data Science Manager,TrueAccord,Remote,unknown,,,
Director of Data Platform,Hanwha Techwin,"San Jose, CA",unknown,,,
"Director of Data Science, Expansion",Salesforce,California,unknown,,,
Data Scientist - Associate,"JPMorgan Chase Bank, N.A.","Jersey City, NJ",year,104500.0,135000.0,119750.0
Scientist - Data Review,Apex Systems,"Morrisville, NC",hour,35.0,35.0,72800.0
"Data Scientist, AI Services - Mastercard Launch 2023",Mastercard,"O'Fallon, MO 63368",unknown,,,
Banner DBA (P116),Ferrilli,Remote,unknown,,,
Head of Data Science,Perennial,"Remote in Boulder, CO",year,190000.0,260000.0,225000.0
Machine Learning Research Engineer,Schrödinger,"New York, NY+1 location",unknown,,,
Database Administrator I,Bayhealth,"Dover, DE 19904",unknown,,,
Data Science & Analytics Associate Director,Merck,"Hybrid remote in North Wales, PA",unknown,,,
Consulting Partner-Data Analytics,Tech Intellectuals,Remote,year,160000.0,240000.0,200000.0
SQL Database Administrator (REMOTE),Cognizant,"Remote in Westport, CT+22 locations",unknown,,,
Business Analyst,GenTech Associates,"Des Moines, IA+1 location",hour,28.0,30.0,60320.0
Senior Business Intelligence (BI) Developer,Ameya Data Solutions,Remote,unknown,,,
Business Data Analyst,crox,"Plano, TX",hour,60.0,70.0,135200.0
Lead Machine Learning Engineer,PathAI,"Remote in Boston, MA",unknown,,,
Infrastructure Data Manager,Capgemini,"Richmond, VA",unknown,,,
Business Intelligence Analyst,"Sandhills Global, Inc.","Lincoln, NE 68521 (Highlands area)",unknown,900.0,1300.0,1100.0
Data Scientist,Ntropy Network,"Remote in New York, NY",year,130000.0,130000.0,130000.0
Data Engineer,ApolloMed,+1 locationRemote,unknown,,,
QA Engineer,Vianai Systems,Remote,unknown,,,
Azure Data Engineer,Laiba Technologies,"Columbus, MS 39701",hour,39.0,70.0,113360.0
Machine Learning Engineer,TrailStone Group,"Austin, TX 78746 (Barton Hills area)",unknown,,,
Senior Data Scientist - Financial Markets,MTG Services,"Remote in New York, NY",year,110000.0,130000.0,120000.0
Data Scientist,SAIF,Remote,unknown,8575.0,11450.0,10012.5
Database Administrator,Discovery Support Services LLC,"Bethesda, MD",year,58000.0,115000.0,86500.0
Senior Business Intelligence Developer,Medica Services Company LLC,"Minnetonka, MN 55305",unknown,,,
Machine Learning Engineer,TrailStone Group,"Austin, TX 78746 (Barton Hills area)",unknown,,,
Data Scientist,Techspace Solutions,Remote,unknown,,,
Web Business Analyst,RelMap Consulting,Remote,hour,75.0,85.0,166400.0
Database Administrator,DLP Capital,"Hybrid remote in Saint Augustine, FL 32095",unknown,,,
Business Analyst,RPO International,"Houston, TX 77075 (South Belt - Ellington area)+2 locations",hour,50.0,60.0,114400.0
"Data Scientist, Fulfillment and Logistics",Chewy,"Plantation, FL",unknown,,,
Data Scientist II,Christus Health,"Irving, TX 75038 (Cottonwood area)",unknown,,,
Senior Business Intelligence Engineer,Cash App,"Remote in San Francisco, CA 94103+2 locations",unknown,,,
Data Engineer,NexWave Talent Management Solutions Pvt Ltd.,"Andes, NY 13731",year,84042.0,190694.0,137368.0
Sr. Manager Data Science & Analytics,3Q/DEPT,"Hybrid remote in San Francisco, CA 94107+1 location",year,140000.0,150000.0,145000.0
Data Scientist I,Safety National,"St. Louis, MO",unknown,,,
Director Application Architecture,Fidelity Investments,"Temporarily Remote in Boston, MA 02210",unknown,,,
Data Engineer,Reveille Technologies,"Beaverton, OR 97003 (Five Oaks - Triple Creek area)+1 location",hour,60.0,65.0,130000.0
Data Engineer,Cybertec Inc,Remote,hour,50.0,65.0,119600.0
"Sr. Director, Data Science, Engineering and Analytics",Bloomingdale’s,"Long Island City, NY 11101",year,175665.0,292950.0,234307.5
Business Intelligence Developer (Remote),TDS,Remote,unknown,,,
"Data Science Manager, Anti-Money Laundering (Remote-Eligible)",Capital One,"Remote in McLean, VA",unknown,,,
Senior Data Scientist - Financial Markets,MTG Services,"Remote in New York, NY",year,110000.0,130000.0,120000.0
Data Engineer,Penn Foster,+1 locationRemote,unknown,,,
Business Analyst,A P Ventures LLC,Remote,unknown,,,
Business Analyst I,R.J. O'Brien,"Chicago, IL 60606 (West Loop Gate area)+1 location",year,65000.0,75000.0,70000.0
Data Scientist,Major League Baseball,"New York, NY",year,120000.0,145000.0,132500.0
Senior Manager/Director of Data Science,Geneoscopy Inc,Remote,unknown,,,
Jr Database Administrator,Aegis Aerospace,"Colorado Springs, CO 80912",unknown,,,
Director of Data and Analytics (FT),OTG Management,"New York, NY 10010 (NoMad area)",year,150000.0,200000.0,175000.0
Data Scientist (Hybrid),Bluestem Brands,"Eden Prairie, MN 55347",unknown,,,
GCP Data Engineer,First Soft Solutions,+1 locationRemote,hour,40.0,42.0,85280.0
Data Engineer,Tudip Technologies Pvt. Ltd.,Remote,year,70000.0,120000.0,95000.0
IT Business Analyst,W. L. Gore & Associates,"Elkton, MD",unknown,,,
Database Administrator,Lane Education Service District,"Eugene, OR 97402 (Bethel area)",unknown,,,
"Director, Analytics Solutions Head of Engineering",Merck,Remote,unknown,,,
"Infrastructure Engineer, Oracle DBA (24 x 7 operations support)",PNC Financial Services Group,"Remote in Pittsburgh, PA 15222+2 locations",unknown,,,
Machine Learning Engineer,ironSource,"San Francisco, CA 94107 (South of Market area)+1 location",unknown,,,
"Machine Learning Engineer, 340b Team","Berkeley Research Group, LLC","New York, NY 10019 (Midtown area)+1 location",year,100000.0,170000.0,135000.0
DATA ENGINEER ( Remote),Silverxis,Remote,hour,40.0,40.0,83200.0
Technical Project Manager - Data Science,Scorpion,Remote,unknown,,,
Associate Machine Learning Engineer (Remote),Synthetaic,"Remote in Delafield, WI 53018+1 location",unknown,,,
Sr. Business Intelligence Developer,SHI International Corp.,"Somerset, NJ 08873",year,100000.0,130000.0,115000.0
Machine Learning Engineer,Alethea Group,"Remote in Washington, DC",unknown,,,
Sr. Business Intelligence Developer,SHI International Corp.,"Somerset, NJ 08873",year,100000.0,130000.0,115000.0
Business Intelligence Analyst,Apex Systems,"Stamford, CT",unknown,,,
Research Software Development Engineer/Senior Research Software Development Engineer - Remote,University of Illinois,"Remote in Chicago, IL 60607+1 location",unknown,,,
AI Data Annotation & Deployment Manager,Drover AI,"Cincinnati, OH 45241",year,40000.0,50000.0,45000.0
Data Engineer (W2 only),Cognoticai,"South San Francisco, CA 94080",hour,85.0,95.0,187200.0
Oracle database administrator,ASC,+1 locationRemote,hour,50.0,50.0,104000.0
Head of Computational Biology – Data Science,"Monte Rosa Therapeutics, Inc","Boston, MA 02210 (South Boston area)",unknown,,,
Product Manager with (AI and ML),Artech Consulting LLC,Remote,hour,60.0,67.0,132080.0
Data Engineer,"Celgard, LLC","Charlotte, NC 28202 (Downtown Charlotte area)+1 location",unknown,,,
SQL Database Administrator,True Influence,Remote,unknown,,,
Data Scientist,"The Best Talent Services, Inc.",Remote,year,145000.0,180000.0,162500.0
Data Engineer with Alteryx,Enterprise Minds,Remote,unknown,,,
Data Scientist (Varying Levels),Windfall,"San Francisco, CA",unknown,,,
Associate Research Director - AI / ML / Data Science,Two Six Technologies,"Arlington, VA",unknown,,,
Business Analyst,Trilogy Innovations Inc,Remote,unknown,,,
Machine Learning Engineer,"Mile Two, LLC",Remote,unknown,,,
Data Scientist - NLP,"Ursus, Inc.","Remote in Menlo Park, CA 94025",hour,40.0,48.0,91520.0
Database Administrator,McGraw Hill LLC.,"Remote in Albion, IA 50005",year,90000.0,105000.0,97500.0
Database Administrator,UF Health Shands Hospital,"Gainesville, FL 32608",hour,40.0,55.0,98800.0
Business Intelligence Analyst,Work from Home,"Remote in Nashville, TN 37203",unknown,,,
Data Scientist,Apolis,Remote,hour,75.0,85.0,166400.0
Machine Learning Engineer,Kraft Heinz Company,"Chicago, IL",unknown,,,
Senior SQL Database Administrator (Online/Remote),"American Public Education, Inc. Careers",Remote,unknown,,,
Machine Learning Engineer,InstaDeep,"San Francisco, CA 94105 (Financial District area)+1 location",unknown,,,
Database Administrator - Remote,"Ellumen, Inc","Remote in Washington, DC 20020+1 location",unknown,,,
Data Engineer,hiscope cyberlink technologies,Remote,year,84077.0,190689.0,137383.0
Data Engineer,Andros Technologies Inc.,"Remote in Chicago, IL+1 location",year,130000.0,155000.0,142500.0
Machine Learning Infra Engineer,Nextdoor,"Remote in San Francisco, CA+2 locations",unknown,,,
IT Business Analyst,FAAZ Consulting,Remote,hour,55.0,68.0,127920.0
Data Engineer,TSN Partners,Remote,year,95000.0,100005.0,97502.5
Machine Learning Engineer,Botkeeper Inc,"Boston, MA",unknown,,,
Business Data Analyst,DHL | Supply Chain,"Groveport, OH 43125+10 locations",unknown,,,
Data Analytics Services Director,Central California Alliance for Health (Remote),"Remote in Scotts Valley, CA",unknown,,,
Senior Data Engineer,Airbnb,"Remote in San Francisco, CA 94103",year,164000.0,215000.0,189500.0
Data Science Director,Huntington,"Hybrid remote in Columbus, OH 43215",unknown,,,
Data Science,Dataquestcorp,"Branchburg, NJ",year,70000.0,78613.0,74306.5
Machine Learning Lead Engineer/Scientist,Muon Space Inc,Remote,unknown,,,
Data Engineer,"Sandhills Global, Inc.","Scottsdale, AZ 85260 (North Scottsdale area)",unknown,1450.0,2500.0,1975.0
REMOTE JOB || Looking for 10+ Yeas of Data Engineer,Blue X Technologies,Remote,hour,60.0,70.0,135200.0
Database Administrator,"Minerva Networks, Inc.",Remote,unknown,,,
"Manager, Data Architecture Health Analytics",Delta,"Atlanta, GA",unknown,,,
"Technical Program Manager - Data Science and Analytics, Apple Media Products",Apple,"Cupertino, CA",unknown,,,
Machine Learning Engineer,Apolis,"Austin, TX 78705 (Hancock area)+2 locations",year,130000.0,140000.0,135000.0
Data Engineer,Vingsfire pvt ltd,Remote,hour,50.0,50.0,104000.0
Data Engineer - ENTRY LEVEL,PCS Global Tech,"Salt Lake City, UT+4 locations",year,60000.0,70000.0,65000.0
Data Engineer,EAB,Remote,unknown,,,
Senior Data Engineer (Remote-Eligible),Capital One,"Remote in New York, NY 10012+78 locations",unknown,,,
Business Intelligence Developer - SQL,Community Health Network,"Indianapolis, IN 46256",unknown,,,
"Senior Product Manager, Data Science & Machine Learning",Index Exchange,"Remote in Boston, MA",unknown,,,
Head of Data Engineering,Atlassian,"Mountain View, CA",unknown,,,
Data Engineer,Ritwik Infotech,Remote,hour,55.0,65.0,124800.0
Database Administrator,Glens Falls Hospital,"Glens Falls, NY 12801",unknown,,,
Manager in Marketing Analytics & Data Science - New York,Ekimetrics,"New York, NY+1 location",unknown,,,
Data Engineer,ITExpertUS,"Sunnyvale, CA",unknown,,,
Business Analyst (100% Remote),INADEV,Remote,year,80000.0,110000.0,95000.0
Business Intelligence Developer,MidFirst Bank,"Oklahoma City, OK 73118",unknown,,,
Business Intelligence Developer (remote),ChemTreat,"Remote in Richmond, VA 23219",year,93000.0,112000.0,102500.0
Business Intelligence Developer,Vale Group,"Hybrid remote in New York, NY",year,120000.0,120000.0,120000.0
Head of Decision Science,MoneyGram,"Dallas, TX 75206 (Upper Greenville area)",year,157000.0,237600.0,197300.0
Data Scientist,Radcube LLC,Remote,year,111648.0,122984.0,117316.0
IT Database Administrator P11,State of Michigan,"Hybrid remote in Lansing, MI+1 location",year,200000.0,200000.0,200000.0
Business Analyst,TECKpert,+3 locationsRemote,year,108160.0,108160.0,108160.0
Junior Oracle Database Administrator - 100% Remote!,General Dynamics Information Technology,Remote in Indiana,year,44000.0,66000.0,55000.0
"Director, Data Engineer",Webster Financial Corp,Remote,year,130000.0,150000.0,140000.0
GCP Data Engineer - 100% Remote,Glow Networks,Remote,hour,50.0,60.0,114400.0
Associate Director/Director of Statistical Programming,"PHARMARON CLINICAL SERVICES, INC.","Piscataway, NJ 08854",unknown,,,
Machine Learning Engineer,CoVar,"Hybrid remote in Durham, NC 27707+1 location",unknown,,,
Data Engineer,Devcare Solutions,+1 locationRemote,hour,55.0,70.0,130000.0
Database Administrator 5,HII,"New York, NY",unknown,,,
Software Engineer,Ezoic,"Carlsbad, CA 92009 (Bressi Ranch area)+1 location",unknown,,,
Data Engineer,Twitch,"Remote in San Francisco, CA 94104",year,139860.0,170940.0,155400.0
Database Administrator (Direct Hire/Remote),"Connectria, LLC",Remote,unknown,,,
Data Science Manager,West Monroe Experienced,"Hybrid remote in San Francisco, CA+3 locations",unknown,,,
Business Intelligence Developer,"Spark Change, LLC","Kansas City, MO 64102 (West Bottoms area)",year,37603.0,134423.0,86013.0
Lead Engineer - Data Science,Wendy's,"Remote in Dublin, OH 43017",year,96000.0,168000.0,132000.0
Business Analyst,Cilable,"Remote in Des Moines, IA+2 locations",hour,35.0,38.0,75920.0
Scientist - Data Review,Apex Systems,"Morrisville, NC",hour,35.0,35.0,72800.0
"Manager, Sport Science Data",Blue Crow Sports Group,"Houston, TX",unknown,,,
"Manager, Data Science",Toyota,"Plano, TX 75024+1 location",unknown,,,
Machine Learning Engineer,Moveworks,"Mountain View, CA+1 location",unknown,,,
Data Engineer,Kaygen Inc.,Remote,hour,55.0,60.0,119600.0
Data Scientist,CCC,"Chicago, IL",unknown,,,
Senior Data Scientist,Gradient AI,Remote,year,130000.0,185000.0,157500.0
Machine Learning Engineer,Hebbia AI,"New York, NY 10012 (SoHo area)",unknown,,,
Data Engineer,Stytch,"New York, NY+2 locations",year,150000.0,300000.0,225000.0
data engineering manager,Starbucks,"Hybrid remote in Seattle, WA",year,139000.0,246700.0,192850.0
Data Engineer,Mastechdigital,"Pittsburgh, PA+1 location",hour,55.0,60.0,119600.0
"Senior Lead Data Systems Engineer (Broomfield, Littleton or Denver CO)",Lumen,"Littleton, CO 80120",year,100440.0,223680.0,162060.0
Data Engineer,Bayer,"Remote in St. Louis, MO 63146+3 locations",unknown,,,
Data Scientist,Continental Finance Company,"Hybrid remote in Wilmington, DE 19808",unknown,,,
"Data Scientist, Marketing",Quizlet,"Remote in New York, NY",year,107000.0,148000.0,127500.0
Applied Machine Learning Engineer,SambaNova Systems,"Palo Alto, CA+1 location",unknown,,,
Data Scientist,Agama Solutions,"Remote in San Francisco Bay Area, CA",hour,75.0,75.0,156000.0
Business Intelligence Reporting/Analytics Developer,Children's Healthcare of Atlanta,"Brookhaven, GA 30329",unknown,,,
Software Engineer - Machine Learning Systems,Mapped,Remote,unknown,,,
"Sr. Manager, Data Engineer",Charles Schwab,"Lone Tree, CO 80124",year,121000.0,242000.0,181500.0
Machine Learning Operations Engineer (Part-Time/Consulting),EcoMetricx,"Remote in Denver, CO+7 locations",hour,70.0,90.0,166400.0
Database Administrator,Gazelle Global Consulting,Remote,unknown,,,
Business Intelligence Developer,Berkley,"Chicago, IL 60661 (West Loop Gate area)",unknown,,,
Business Analyst,Excelgens,"Parsippany, NJ 07054",hour,60.0,65.0,130000.0
AI and Data Science Manager,Bank of America,"Charlotte, NC 28202 (First Ward area)+1 location",unknown,,,
Head of Data Science,COVU,"Remote in San Francisco, CA",unknown,,,
Head of Data for Personalization & Insights,"JPMorgan Chase Bank, N.A.","Chicago, IL",year,175750.0,235000.0,205375.0
Sr. Machine Learning Engineer,Rapinno tech solutions,"Basking Ridge, NJ+1 location",hour,40.0,55.0,98800.0
Director of Machine Learning,Tackle AI,"Hybrid remote in Schaumburg, IL 60173",year,180000.0,250000.0,215000.0
Director of Data Science,Kin Insurance,"Remote in Chicago, IL",unknown,,,
"Director of Data Science, Expansion","Slack Technologies, LLC, a Salesforce company","New York, NY",unknown,,,
Data Scientist,AGM Tech Solutions,Remote,hour,75.0,85.0,166400.0
Azure Data Engineer,Digital Plus Solutions,Remote,hour,45.0,55.0,104000.0
Entry Level Business Analyst,Dhatronictech,Remote,year,65000.0,75000.0,70000.0
Power BI Developer - Expert,isolved,Remote,unknown,,,
Business Analyst - 100% Remote,tekshaper Inc.,+1 locationRemote,hour,80.0,80.0,166400.0
Machine Learning Engineer,DeepHealth,Remote,year,100000.0,100000.0,100000.0
Machine Learning Engineer,Liftoff,"Remote in Redwood City, CA+2 locations",unknown,,,
Business Analyst,Crox Group,"Baltimore, MD 21218 (Charles North area)",hour,40.0,70.0,114400.0
DATA ENGINEER,Enquizit Inc,Remote,unknown,,,
Database Administrator IRES - SSFB/HSV/NCR,Jacobs,"Colorado Springs, CO 80902+6 locations",year,109400.0,135200.0,122300.0
BI (Business Intelligence) Developer,Experfy Inc,Remote,unknown,,,
"Director, Clinical Data Science",Teladoc Health,Remote,year,160000.0,185000.0,172500.0
data engineer,Capgemini,Remote,unknown,,,
Database Administrator,Rekor Systems Inc,"Washington, DC+1 location",unknown,,,
"Manager, Data Science","Press Ganey Associates, Inc.",Remote,unknown,,,
Data Director,Digible,"Remote in Englewood, CO 80113",year,110000.0,140000.0,125000.0
Business Intelligence Developer,Brilliant Infotech,+1 locationRemote,hour,60.0,65.0,130000.0
Business Intelligence Developer,Maximus,Remote,unknown,,,
Data Scientist Computational Genetics,Bayer,"Chesterfield, MO",year,110000.0,110000.0,110000.0
"Manager, Data Science",Intercontinental Exchange,"New York, NY 10022 (Turtle Bay area)",year,140000.0,175000.0,157500.0
Senior Business Intelligence Developer,Central Georgia Health Network,Remote,year,85000.0,95000.0,90000.0
Database Administrator,The Lifetime Value Co.,Remote,unknown,,,
Business Analyst,Aviation Structure Repairs,"Little Rock, AR 72201 (Downtown CBD area)",year,47715.0,92787.0,70251.0
Data Engineer,Skywalk Global,"Remote in Redmond, WA",hour,54.0,54.0,112320.0
Practice Manager - Data Science & Engineering (Remote role in USA),Rackspace,"Remote in San Antonio, TX",unknown,,,
Manager of Data Engineering,OppFi,"Remote in Chicago, IL",year,165000.0,165000.0,165000.0
Data Scientist,Service Management Group (SMG),Remote,unknown,,,
Data Engineer - Remote,ITEOM,Remote,unknown,,,
Senior Business Intelligence Developer,Amwell,"Remote in Boston, MA",unknown,,,
"Director, Team Lead - Data & Analytics Delivery","The Travelers Companies, Inc.","Hartford, CT",year,108200.0,178500.0,143350.0
"Business Analyst, Tableau Data Specialist",Del Oro Consulting,Remote,hour,31.0,38.0,71760.0
Data Mining Director,Change Healthcare,"King of Prussia, PA",unknown,,,
Database Administrator,UF Health Shands Hospital,"Gainesville, FL 32608",hour,40.0,55.0,98800.0
"Director, IT Data & Analytics",Genmab,Remote,unknown,,,
Senior SQL Database Administrator (Hybrid),Getinge,"Cleveland, OH 44109 (Tremont area)",unknown,,,
Data Science Manager,Kx Advisors,"Washington, DC 20036 (Downtown area)",unknown,,,
Business Analyst,"LabConnect, LLC",Remote,unknown,,,
Business Analyst,Edrstaffing,"Boston, MA 02108 (Back Bay-Beacon Hill area)",hour,45.0,46.0,94640.0
Business Analyst,State Street,"Burlington, MA+8 locations",unknown,,,
Director of Life Science Research Analytics,Truveta,"Remote in Seattle, WA",unknown,,,
Software Engineer,Ezoic,"Carlsbad, CA 92009 (Bressi Ranch area)+1 location",unknown,,,
Data Scientist II,Christus Health,"Irving, TX 75038 (Cottonwood area)",unknown,,,
"Data Scientist I, Risk Analytics",Oscar Health,"Hybrid remote in New York, NY",year,115360.0,144200.0,129780.0
Business Analyst,"RELI Group, Inc.",Remote,unknown,,,
Affiliate Business Analyst,Trellis,"Remote in San Francisco, CA 94103",unknown,,,
Entry Level Business Analyst,ALCglobalSoftware,Remote,year,60000.0,80000.0,70000.0
"Associate Director, Data Science",Digitas,"New York, NY 10014 (SoHo area)",year,106500.0,167500.0,137000.0
Business Analyst,Ingress IT Solutions,Remote,hour,35.0,42.0,80080.0
Junior Business Intelligence Developer,Wheeler Trigg Odonnell Llp,"Denver, CO 80202 (Central Business District area)",year,75000.0,90000.0,82500.0
Business Intelligence Developer - Orders,University of California San Francisco,Remote,unknown,,,
"Machine Learning Engineer, Applied ML",Decide,"Austin, TX 78701 (Downtown area)+1 location",unknown,,,
Machine Learning Engineer,Emonics LLC,"Phoenix, AZ 85008 (Central City area)",year,110000.0,125000.0,117500.0
Business Intelligence Developer,PolyCon Solutions,"Washington, DC 20024 (Southwest Federal Center area)",year,94250.0,145000.0,119625.0
Business Analyst with Reinsurance Domain,NIVID Technologies,Remote,hour,55.0,59.0,118560.0
Machine Learning Engineer,Kraft Heinz Company,"Chicago, IL",unknown,,,
Data Scientist/AI Engineer,Nolij Consulting,"McLean, VA 22108",unknown,,,
Remote Enterprise Intelligence Developer,Spartanburg Regional Healthcare System,"Remote in Spartanburg, SC 29302",unknown,,,
Business Analyst,"ColorArt Printing, LLC",Remote,year,60000.0,75000.0,67500.0
Business Analyst,Devcare Solutions,+9 locationsRemote,hour,60.0,65.0,130000.0
Business Data Analyst,Sanametrix,Remote,year,70000.0,85000.0,77500.0
Database Administrator I,General Electric Credit Union,"Blue Ash, OH 45242",unknown,,,
Senior Business Intelligence Developer,NewYork-Presbyterian Hospital,"Hybrid remote in Manhattan, NY 10065+1 location",unknown,,,
Machine Learning Engineer,AICrete Corp.,"San Francisco Bay Area, CA",unknown,,,
Data Engineer,ITExpertUS,"Sunnyvale, CA",unknown,,,
Business Analyst,Vetro Tech Inc,"Remote in Chicago, IL",year,81000.0,91000.0,86000.0
Business Analyst,Norman Technologies,"San Francisco, CA 94104 (Financial District/South Beach area)",hour,75.0,90.0,171600.0
Data Scientist - Hybrid,Citi,"New York, NY",unknown,,,
Manager Data Science - REMOTE,WALGREENS,"Remote in Deerfield, IL 60015",unknown,,,
